freq,psd_x,psd_y,psd_z,psd_xyz
155.4,2.222e+04,6.145e+03,2.076e+04,4.912e+04
157.0,2.102e+04,4.196e+03,1.325e+04,3.846e+04
158.6,2.209e+04,3.028e+03,7.868e+03,3.299e+04
160.2,2.393e+04,2.494e+03,5.094e+03,3.152e+04
161.7,2.563e+04,2.702e+03,4.770e+03,3.310e+04
163.3,2.401e+04,3.032e+03,4.631e+03,3.167e+04
164.9,2.097e+04,2.959e+03,4.349e+03,2.828e+04
166.5,1.651e+04,2.358e+03,3.843e+03,2.271e+04
168.1,1.177e+04,1.672e+03,3.131e+03,1.657e+04
169.7,7.634e+03,1.329e+03,3.241e+03,1.220e+04
171.3,5.627e+03,1.775e+03,4.038e+03,1.144e+04
172.8,4.462e+03,2.775e+03,5.751e+03,1.299e+04
174.4,4.004e+03,4.149e+03,7.533e+03,1.569e+04
176.0,3.543e+03,5.500e+03,8.915e+03,1.796e+04
177.6,2.572e+03,6.314e+03,9.674e+03,1.856e+04
179.2,2.400e+03,6.893e+03,1.187e+04,2.116e+04
180.8,3.108e+03,8.746e+03,1.718e+04,2.904e+04
182.4,4.882e+03,1.424e+04,2.976e+04,4.889e+04
183.9,7.245e+03,2.093e+04,4.398e+04,7.215e+04
185.5,9.716e+03,2.658e+04,5.454e+04,9.084e+04
187.1,1.097e+04,2.742e+04,5.768e+04,9.606e+04
188.7,1.129e+04,2.556e+04,5.461e+04,9.146e+04
190.3,1.153e+04,2.472e+04,5.344e+04,8.969e+04
191.9,1.187e+04,2.446e+04,5.291e+04,8.925e+04
193.5,1.179e+04,2.282e+04,5.019e+04,8.480e+04
195.0,1.131e+04,2.271e+04,5.099e+04,8.501e+04
196.6,1.068e+04,2.300e+04,5.256e+04,8.624e+04
198.2,9.449e+03,2.300e+04,5.340e+04,8.584e+04
199.8,8.451e+03,2.389e+04,5.610e+04,8.844e+04
