freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.913e+01,1.934e+02,1.698e+02,3.923e+02
1.6,3.433e+01,1.913e+02,1.408e+02,3.665e+02
3.2,2.470e+01,1.233e+02,6.670e+01,2.147e+02
4.8,5.617e+01,5.138e+02,7.424e+01,6.442e+02
6.3,1.742e+02,1.524e+03,9.346e+01,1.791e+03
7.9,2.525e+02,2.180e+03,1.036e+02,2.536e+03
9.5,2.325e+02,3.033e+03,1.059e+02,3.371e+03
11.1,3.152e+02,4.455e+03,1.016e+02,4.872e+03
12.7,3.480e+02,4.981e+03,1.062e+02,5.435e+03
14.3,4.786e+02,6.542e+03,1.418e+02,7.162e+03
15.8,6.674e+02,9.093e+03,7.807e+02,1.054e+04
17.4,4.932e+02,1.016e+04,1.353e+03,1.201e+04
19.0,5.120e+02,1.337e+04,8.734e+02,1.475e+04
20.6,5.411e+02,1.632e+04,8.370e+02,1.770e+04
22.2,5.501e+02,2.038e+04,9.807e+02,2.191e+04
23.8,9.707e+02,2.793e+04,1.064e+03,2.996e+04
25.4,3.034e+03,2.755e+04,9.239e+02,3.151e+04
26.9,4.407e+03,2.970e+04,9.675e+02,3.507e+04
28.5,4.646e+03,4.129e+04,1.460e+03,4.740e+04
30.1,4.870e+03,5.193e+04,1.501e+03,5.830e+04
31.7,6.136e+03,6.016e+04,9.704e+02,6.727e+04
33.3,7.482e+03,7.866e+04,7.073e+02,8.685e+04
34.9,9.837e+03,1.119e+05,6.230e+02,1.223e+05
36.5,1.340e+04,1.687e+05,9.946e+02,1.831e+05
38.0,2.478e+04,2.018e+05,3.518e+03,2.301e+05
39.6,3.455e+04,1.463e+05,1.484e+04,1.957e+05
41.2,2.381e+04,1.046e+05,2.413e+04,1.525e+05
42.8,1.431e+04,1.032e+05,2.611e+04,1.436e+05
44.4,7.960e+03,1.235e+05,3.134e+04,1.628e+05
46.0,3.069e+03,1.692e+05,4.196e+04,2.142e+05
47.5,3.796e+03,2.006e+05,5.981e+04,2.642e+05
49.1,2.080e+04,2.135e+05,1.200e+05,3.543e+05
50.7,5.931e+04,2.013e+05,2.678e+05,5.284e+05
52.3,6.489e+04,1.475e+05,3.211e+05,5.335e+05
53.9,3.336e+04,1.007e+05,2.198e+05,3.539e+05
55.5,1.512e+04,1.221e+05,1.543e+05,2.914e+05
57.1,1.351e+04,1.719e+05,2.335e+05,4.189e+05
58.6,1.361e+04,1.757e+05,3.743e+05,5.636e+05
60.2,5.942e+03,1.447e+05,3.984e+05,5.490e+05
61.8,1.551e+03,1.143e+05,3.922e+05,5.080e+05
63.4,1.446e+03,9.498e+04,4.204e+05,5.168e+05
65.0,1.561e+04,7.440e+04,5.414e+05,6.314e+05
66.6,6.685e+04,4.060e+04,5.403e+05,6.477e+05
68.1,9.311e+04,3.144e+04,4.623e+05,5.868e+05
69.7,8.181e+04,3.555e+04,4.608e+05,5.782e+05
71.3,6.143e+04,4.513e+04,5.427e+05,6.493e+05
72.9,3.817e+04,4.180e+04,5.263e+05,6.063e+05
74.5,1.856e+04,3.808e+04,4.019e+05,4.585e+05
76.1,6.867e+03,6.185e+04,3.808e+05,4.495e+05
77.7,1.999e+03,6.815e+04,3.780e+05,4.481e+05
79.2,1.472e+03,6.088e+04,3.470e+05,4.094e+05
80.8,1.312e+03,5.784e+04,2.538e+05,3.130e+05
82.4,1.184e+03,6.045e+04,1.686e+05,2.302e+05
84.0,1.184e+03,5.852e+04,1.221e+05,1.818e+05
85.6,1.268e+03,5.047e+04,1.030e+05,1.547e+05
87.2,1.428e+03,4.772e+04,8.967e+04,1.388e+05
88.8,1.182e+03,4.327e+04,8.028e+04,1.247e+05
90.3,8.560e+02,3.770e+04,6.822e+04,1.068e+05
91.9,7.192e+02,3.264e+04,5.372e+04,8.708e+04
93.5,6.757e+02,2.841e+04,4.366e+04,7.275e+04
95.1,7.031e+02,2.532e+04,3.507e+04,6.108e+04
96.7,7.035e+02,2.284e+04,2.649e+04,5.003e+04
98.3,6.491e+02,2.097e+04,2.170e+04,4.332e+04
99.8,1.654e+03,1.976e+04,2.027e+04,4.168e+04
101.4,3.351e+03,2.023e+04,1.973e+04,4.331e+04
103.0,4.084e+03,2.038e+04,1.767e+04,4.213e+04
104.6,3.138e+03,1.837e+04,1.459e+04,3.610e+04
106.2,1.757e+03,1.587e+04,1.129e+04,2.893e+04
107.8,7.078e+02,1.416e+04,9.606e+03,2.447e+04
109.4,4.505e+02,1.376e+04,9.735e+03,2.394e+04
110.9,1.011e+03,1.737e+04,1.110e+04,2.948e+04
112.5,2.183e+03,2.209e+04,1.569e+04,3.996e+04
114.1,3.655e+03,2.332e+04,1.847e+04,4.544e+04
115.7,4.837e+03,2.100e+04,1.744e+04,4.328e+04
117.3,5.325e+03,1.654e+04,1.511e+04,3.698e+04
118.9,5.052e+03,1.167e+04,1.231e+04,2.903e+04
120.4,3.943e+03,7.668e+03,8.587e+03,2.020e+04
122.0,2.833e+03,5.624e+03,4.791e+03,1.325e+04
123.6,2.632e+03,5.745e+03,2.414e+03,1.079e+04
125.2,3.030e+03,5.680e+03,1.640e+03,1.035e+04
126.8,3.233e+03,4.976e+03,1.194e+03,9.403e+03
128.4,3.353e+03,4.877e+03,1.093e+03,9.323e+03
130.0,3.959e+03,5.864e+03,1.175e+03,1.100e+04
131.5,4.147e+03,7.004e+03,2.682e+03,1.383e+04
133.1,2.321e+03,5.701e+03,5.462e+03,1.348e+04
134.7,1.576e+03,5.539e+03,5.781e+03,1.290e+04
136.3,1.359e+03,4.984e+03,4.742e+03,1.108e+04
137.9,1.137e+03,4.261e+03,3.403e+03,8.801e+03
139.5,9.242e+02,3.441e+03,2.111e+03,6.476e+03
141.1,7.046e+02,2.649e+03,1.379e+03,4.733e+03
142.6,5.730e+02,2.056e+03,7.361e+02,3.365e+03
144.2,4.657e+02,1.480e+03,6.583e+02,2.604e+03
145.8,3.176e+02,8.490e+02,8.604e+02,2.027e+03
147.4,1.525e+02,4.535e+02,9.038e+02,1.510e+03
149.0,6.468e+01,3.037e+02,9.169e+02,1.285e+03
150.6,5.508e+01,2.825e+02,9.875e+02,1.325e+03
152.1,6.359e+01,2.934e+02,9.222e+02,1.279e+03
153.7,7.511e+01,2.900e+02,8.944e+02,1.259e+03
155.3,8.259e+01,2.918e+02,9.699e+02,1.344e+03
156.9,7.426e+01,2.883e+02,9.809e+02,1.344e+03
158.5,6.354e+01,2.875e+02,9.353e+02,1.286e+03
160.1,6.382e+01,2.843e+02,9.529e+02,1.301e+03
161.7,6.831e+01,2.251e+02,9.188e+02,1.212e+03
163.2,7.296e+01,2.065e+02,8.955e+02,1.175e+03
164.8,7.514e+01,1.872e+02,8.816e+02,1.144e+03
166.4,7.489e+01,1.911e+02,8.958e+02,1.162e+03
168.0,7.139e+01,2.090e+02,9.151e+02,1.195e+03
169.6,8.063e+01,2.017e+02,9.628e+02,1.245e+03
171.2,1.048e+02,2.049e+02,8.928e+02,1.203e+03
172.7,1.069e+02,2.066e+02,8.021e+02,1.116e+03
174.3,1.035e+02,1.651e+02,7.333e+02,1.002e+03
175.9,1.106e+02,1.658e+02,7.097e+02,9.861e+02
177.5,1.135e+02,1.559e+02,6.669e+02,9.362e+02
179.1,1.158e+02,1.792e+02,6.225e+02,9.175e+02
180.7,9.946e+01,2.251e+02,5.094e+02,8.339e+02
182.3,7.722e+01,2.485e+02,3.817e+02,7.074e+02
183.8,6.211e+01,2.135e+02,3.483e+02,6.239e+02
185.4,5.982e+01,2.348e+02,3.094e+02,6.040e+02
187.0,5.950e+01,2.384e+02,2.758e+02,5.737e+02
188.6,6.245e+01,2.440e+02,2.424e+02,5.488e+02
190.2,6.036e+01,2.375e+02,2.103e+02,5.081e+02
191.8,5.998e+01,2.360e+02,2.451e+02,5.411e+02
193.4,7.156e+01,2.452e+02,3.475e+02,6.643e+02
194.9,1.144e+02,2.586e+02,9.381e+02,1.311e+03
196.5,3.296e+02,3.907e+02,5.077e+03,5.797e+03
198.1,8.675e+02,5.787e+02,1.367e+04,1.511e+04
199.7,1.499e+03,6.058e+02,2.356e+04,2.567e+04
