freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.358e+01,2.737e+01,6.484e+01,1.758e+02
1.6,6.698e+01,2.851e+01,8.974e+01,1.852e+02
3.2,3.535e+01,2.331e+01,8.112e+01,1.398e+02
4.7,2.536e+02,1.177e+02,2.685e+02,6.398e+02
6.3,8.383e+02,9.399e+02,7.619e+02,2.540e+03
7.9,1.249e+03,1.023e+03,1.102e+03,3.373e+03
9.5,1.572e+03,2.950e+02,1.333e+03,3.201e+03
11.1,2.312e+03,2.772e+02,1.912e+03,4.501e+03
12.7,3.071e+03,3.591e+02,2.570e+03,6.000e+03
14.2,4.329e+03,2.805e+02,3.404e+03,8.013e+03
15.8,6.920e+03,6.074e+02,5.004e+03,1.253e+04
17.4,9.149e+03,2.060e+03,6.135e+03,1.734e+04
19.0,7.738e+03,3.664e+03,5.181e+03,1.658e+04
20.6,7.199e+03,2.458e+03,6.720e+03,1.638e+04
22.2,7.038e+03,1.860e+03,9.236e+03,1.813e+04
23.7,8.156e+03,3.273e+03,1.268e+04,2.411e+04
25.3,9.297e+03,4.727e+03,1.507e+04,2.909e+04
26.9,9.732e+03,2.987e+03,1.367e+04,2.639e+04
28.5,1.156e+04,1.966e+03,1.266e+04,2.619e+04
30.1,1.368e+04,1.380e+03,1.156e+04,2.662e+04
31.7,1.494e+04,8.869e+02,1.157e+04,2.740e+04
33.2,1.483e+04,6.862e+02,1.484e+04,3.035e+04
34.8,1.644e+04,7.902e+02,1.786e+04,3.509e+04
36.4,2.286e+04,1.105e+03,1.815e+04,4.211e+04
38.0,3.194e+04,2.154e+03,2.161e+04,5.571e+04
39.6,4.465e+04,3.815e+03,2.621e+04,7.468e+04
41.2,6.728e+04,7.871e+03,2.862e+04,1.038e+05
42.7,8.390e+04,1.366e+04,3.093e+04,1.285e+05
44.3,5.918e+04,1.063e+04,2.445e+04,9.426e+04
45.9,3.207e+04,6.107e+03,1.639e+04,5.457e+04
47.5,2.230e+04,3.445e+03,1.964e+04,4.539e+04
49.1,3.083e+04,1.856e+03,2.812e+04,6.080e+04
50.7,5.601e+04,3.658e+03,3.654e+04,9.621e+04
52.2,8.530e+04,8.671e+03,4.579e+04,1.398e+05
53.8,1.060e+05,1.591e+04,5.995e+04,1.818e+05
55.4,1.154e+05,2.635e+04,6.601e+04,2.077e+05
57.0,1.061e+05,2.889e+04,6.738e+04,2.023e+05
58.6,8.987e+04,2.007e+04,6.955e+04,1.795e+05
60.2,7.961e+04,1.438e+04,6.502e+04,1.590e+05
61.7,8.144e+04,1.767e+04,6.634e+04,1.654e+05
63.3,8.169e+04,2.522e+04,6.560e+04,1.725e+05
64.9,7.298e+04,3.065e+04,5.796e+04,1.616e+05
66.5,5.770e+04,2.986e+04,4.505e+04,1.326e+05
68.1,4.432e+04,2.705e+04,3.350e+04,1.049e+05
69.7,3.320e+04,2.341e+04,2.428e+04,8.090e+04
71.2,2.389e+04,1.981e+04,1.660e+04,6.030e+04
72.8,1.663e+04,1.700e+04,1.103e+04,4.465e+04
74.4,1.302e+04,1.623e+04,8.347e+03,3.759e+04
76.0,1.126e+04,1.713e+04,7.210e+03,3.560e+04
77.6,9.642e+03,1.752e+04,6.314e+03,3.347e+04
79.2,7.913e+03,1.648e+04,5.364e+03,2.976e+04
80.7,6.534e+03,1.554e+04,4.404e+03,2.648e+04
82.3,5.728e+03,1.424e+04,3.590e+03,2.356e+04
83.9,5.254e+03,1.330e+04,2.679e+03,2.123e+04
85.5,4.568e+03,1.334e+04,1.905e+03,1.981e+04
87.1,3.492e+03,1.319e+04,1.378e+03,1.806e+04
88.7,2.426e+03,1.263e+04,9.900e+02,1.605e+04
90.2,1.718e+03,1.262e+04,7.905e+02,1.513e+04
91.8,1.307e+03,1.321e+04,7.595e+02,1.528e+04
93.4,1.046e+03,1.462e+04,7.445e+02,1.641e+04
95.0,8.145e+02,1.612e+04,6.235e+02,1.756e+04
96.6,5.701e+02,1.409e+04,4.405e+02,1.510e+04
98.2,5.808e+02,1.459e+04,4.152e+02,1.558e+04
99.7,6.832e+02,1.738e+04,4.652e+02,1.853e+04
101.3,8.904e+02,2.002e+04,6.782e+02,2.159e+04
102.9,1.288e+03,2.356e+04,1.049e+03,2.589e+04
104.5,1.840e+03,2.845e+04,1.521e+03,3.181e+04
106.1,2.261e+03,3.401e+04,2.012e+03,3.829e+04
107.7,2.581e+03,3.960e+04,2.633e+03,4.481e+04
109.2,3.119e+03,4.254e+04,3.499e+03,4.915e+04
110.8,4.220e+03,4.135e+04,4.813e+03,5.039e+04
112.4,6.109e+03,3.836e+04,7.194e+03,5.166e+04
114.0,8.431e+03,3.623e+04,1.020e+04,5.486e+04
115.6,1.023e+04,3.557e+04,1.287e+04,5.867e+04
117.2,1.123e+04,3.464e+04,1.498e+04,6.085e+04
118.7,1.132e+04,3.378e+04,1.641e+04,6.152e+04
120.3,9.563e+03,3.540e+04,1.460e+04,5.957e+04
121.9,6.709e+03,4.463e+04,1.027e+04,6.161e+04
123.5,5.515e+03,5.715e+04,8.074e+03,7.074e+04
125.1,6.041e+03,6.480e+04,8.587e+03,7.942e+04
126.7,1.005e+04,7.929e+04,1.554e+04,1.049e+05
128.2,1.918e+04,9.826e+04,3.154e+04,1.490e+05
129.8,2.627e+04,8.958e+04,4.432e+04,1.602e+05
131.4,2.727e+04,7.150e+04,4.637e+04,1.451e+05
133.0,1.513e+04,5.136e+04,2.681e+04,9.329e+04
134.6,2.672e+03,3.501e+04,6.490e+03,4.417e+04
136.2,1.590e+03,2.558e+04,4.347e+03,3.152e+04
137.7,1.554e+03,2.002e+04,3.918e+03,2.550e+04
139.3,1.499e+03,1.713e+04,3.520e+03,2.215e+04
140.9,1.404e+03,1.711e+04,3.086e+03,2.160e+04
142.5,1.191e+03,1.679e+04,2.475e+03,2.046e+04
144.1,9.508e+02,1.533e+04,1.815e+03,1.809e+04
145.7,7.322e+02,1.403e+04,1.288e+03,1.605e+04
147.2,6.362e+02,1.321e+04,1.070e+03,1.491e+04
148.8,7.328e+02,1.237e+04,1.070e+03,1.417e+04
150.4,7.608e+02,1.164e+04,1.019e+03,1.342e+04
152.0,7.900e+02,1.063e+04,9.024e+02,1.232e+04
153.6,7.617e+02,9.404e+03,6.827e+02,1.085e+04
155.2,7.112e+02,8.574e+03,5.818e+02,9.867e+03
156.7,6.327e+02,8.174e+03,5.990e+02,9.405e+03
158.3,5.901e+02,8.176e+03,6.714e+02,9.438e+03
159.9,5.309e+02,8.411e+03,6.988e+02,9.641e+03
161.5,4.028e+02,7.913e+03,8.077e+02,9.124e+03
163.1,3.514e+02,6.733e+03,9.991e+02,8.083e+03
164.7,3.989e+02,5.458e+03,1.591e+03,7.447e+03
166.2,5.320e+02,4.492e+03,2.710e+03,7.734e+03
167.8,8.773e+02,4.304e+03,4.303e+03,9.484e+03
169.4,1.310e+03,4.425e+03,5.830e+03,1.156e+04
171.0,1.603e+03,3.626e+03,6.491e+03,1.172e+04
172.6,1.731e+03,3.185e+03,7.379e+03,1.230e+04
174.2,1.745e+03,3.067e+03,8.106e+03,1.292e+04
175.7,1.609e+03,3.026e+03,7.792e+03,1.243e+04
177.3,1.440e+03,2.821e+03,5.958e+03,1.022e+04
178.9,1.511e+03,2.605e+03,5.302e+03,9.418e+03
180.5,1.705e+03,1.964e+03,3.429e+03,7.098e+03
182.1,2.174e+03,1.681e+03,2.992e+03,6.846e+03
183.7,2.569e+03,1.416e+03,3.413e+03,7.397e+03
185.2,2.864e+03,1.234e+03,3.909e+03,8.007e+03
186.8,3.056e+03,1.492e+03,4.482e+03,9.030e+03
188.4,3.179e+03,2.147e+03,5.112e+03,1.044e+04
190.0,2.932e+03,3.121e+03,5.077e+03,1.113e+04
191.6,2.175e+03,3.738e+03,3.982e+03,9.896e+03
193.2,1.564e+03,3.449e+03,3.202e+03,8.215e+03
194.7,1.104e+03,2.584e+03,2.472e+03,6.159e+03
196.3,7.475e+02,2.033e+03,1.666e+03,4.447e+03
197.9,5.527e+02,2.061e+03,1.143e+03,3.757e+03
199.5,7.937e+02,2.978e+03,1.132e+03,4.904e+03
