freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.690e+01,1.050e+02,5.398e+01,1.859e+02
1.6,4.000e+01,8.652e+01,8.771e+01,2.142e+02
3.2,3.554e+01,5.185e+01,8.120e+01,1.686e+02
4.8,7.637e+01,3.193e+02,2.041e+02,5.998e+02
6.3,5.539e+02,1.104e+03,5.614e+02,2.219e+03
7.9,7.824e+02,1.727e+03,9.007e+02,3.410e+03
9.5,2.047e+02,2.058e+03,1.049e+03,3.312e+03
11.1,1.025e+02,2.866e+03,1.412e+03,4.381e+03
12.7,7.845e+01,3.983e+03,1.881e+03,5.943e+03
14.3,8.183e+01,5.527e+03,2.561e+03,8.169e+03
15.9,3.465e+02,8.047e+03,3.348e+03,1.174e+04
17.4,1.942e+03,9.218e+03,4.113e+03,1.527e+04
19.0,2.570e+03,6.504e+03,4.459e+03,1.353e+04
20.6,1.236e+03,7.456e+03,6.055e+03,1.475e+04
22.2,8.265e+02,1.057e+04,7.764e+03,1.916e+04
23.8,1.472e+03,1.345e+04,1.150e+04,2.642e+04
25.4,3.767e+03,1.450e+04,1.584e+04,3.411e+04
27.0,4.313e+03,1.358e+04,1.422e+04,3.211e+04
28.5,2.274e+03,1.492e+04,9.584e+03,2.678e+04
30.1,1.244e+03,1.820e+04,1.018e+04,2.962e+04
31.7,1.014e+03,2.144e+04,1.003e+04,3.248e+04
33.3,9.359e+02,2.340e+04,1.155e+04,3.588e+04
34.9,1.441e+03,2.324e+04,1.395e+04,3.863e+04
36.5,2.310e+03,2.962e+04,1.804e+04,4.997e+04
38.0,3.900e+03,4.347e+04,1.897e+04,6.634e+04
39.6,6.666e+03,6.079e+04,2.306e+04,9.051e+04
41.2,1.524e+04,8.938e+04,1.858e+04,1.232e+05
42.8,2.235e+04,1.048e+05,1.024e+04,1.374e+05
44.4,1.478e+04,6.905e+04,9.750e+03,9.358e+04
46.0,5.557e+03,3.558e+04,1.140e+04,5.254e+04
47.6,1.766e+03,2.965e+04,1.857e+04,4.999e+04
49.1,1.734e+03,4.427e+04,2.499e+04,7.099e+04
50.7,6.466e+03,7.814e+04,2.129e+04,1.059e+05
52.3,1.290e+04,1.059e+05,2.169e+04,1.405e+05
53.9,1.911e+04,1.207e+05,2.712e+04,1.670e+05
55.5,2.319e+04,1.253e+05,3.313e+04,1.817e+05
57.1,2.140e+04,1.221e+05,4.090e+04,1.844e+05
58.7,1.453e+04,1.163e+05,4.872e+04,1.795e+05
60.2,1.091e+04,1.036e+05,4.324e+04,1.577e+05
61.8,1.422e+04,1.016e+05,3.649e+04,1.523e+05
63.4,2.110e+04,1.024e+05,3.323e+04,1.567e+05
65.0,2.481e+04,9.114e+04,2.847e+04,1.444e+05
66.6,2.598e+04,7.682e+04,2.374e+04,1.265e+05
68.2,2.457e+04,6.095e+04,1.905e+04,1.046e+05
69.8,1.976e+04,4.497e+04,1.391e+04,7.865e+04
71.3,1.533e+04,3.422e+04,1.006e+04,5.961e+04
72.9,1.256e+04,2.714e+04,7.445e+03,4.714e+04
74.5,1.202e+04,2.449e+04,5.908e+03,4.241e+04
76.1,1.193e+04,2.338e+04,5.146e+03,4.045e+04
77.7,1.032e+04,1.900e+04,3.921e+03,3.325e+04
79.3,9.230e+03,1.476e+04,2.900e+03,2.689e+04
80.9,8.575e+03,1.257e+04,2.374e+03,2.352e+04
82.4,8.515e+03,1.150e+04,2.134e+03,2.215e+04
84.0,8.072e+03,1.096e+04,1.942e+03,2.098e+04
85.6,7.367e+03,9.617e+03,1.611e+03,1.859e+04
87.2,6.428e+03,7.237e+03,1.087e+03,1.475e+04
88.8,5.497e+03,4.875e+03,6.341e+02,1.101e+04
90.4,4.780e+03,3.158e+03,4.112e+02,8.349e+03
92.0,4.264e+03,2.296e+03,3.455e+02,6.905e+03
93.5,4.029e+03,1.968e+03,4.078e+02,6.405e+03
95.1,4.458e+03,1.861e+03,4.635e+02,6.782e+03
96.7,4.886e+03,1.662e+03,4.476e+02,6.995e+03
98.3,5.734e+03,1.483e+03,4.743e+02,7.691e+03
99.9,6.975e+03,1.491e+03,6.513e+02,9.118e+03
101.5,8.689e+03,1.994e+03,9.753e+02,1.166e+04
103.0,1.166e+04,2.717e+03,1.366e+03,1.575e+04
104.6,1.492e+04,3.392e+03,1.848e+03,2.016e+04
106.2,1.756e+04,4.011e+03,2.270e+03,2.384e+04
107.8,1.969e+04,4.423e+03,2.713e+03,2.682e+04
109.4,2.046e+04,4.676e+03,3.276e+03,2.842e+04
111.0,2.029e+04,4.827e+03,3.684e+03,2.880e+04
112.6,2.021e+04,5.147e+03,4.116e+03,2.948e+04
114.1,2.104e+04,5.327e+03,4.624e+03,3.099e+04
115.7,2.133e+04,5.521e+03,5.449e+03,3.230e+04
117.3,2.072e+04,5.198e+03,5.705e+03,3.162e+04
118.9,2.190e+04,4.774e+03,5.195e+03,3.187e+04
120.5,2.638e+04,4.056e+03,3.896e+03,3.433e+04
122.1,3.738e+04,3.502e+03,2.951e+03,4.383e+04
123.7,5.064e+04,3.526e+03,2.803e+03,5.697e+04
125.2,5.543e+04,4.288e+03,3.435e+03,6.315e+04
126.8,5.373e+04,4.775e+03,3.863e+03,6.237e+04
128.4,4.570e+04,5.180e+03,4.159e+03,5.504e+04
130.0,3.630e+04,5.610e+03,4.637e+03,4.655e+04
131.6,2.868e+04,6.683e+03,5.700e+03,4.106e+04
133.2,2.710e+04,6.247e+03,5.046e+03,3.839e+04
134.8,2.504e+04,4.282e+03,3.116e+03,3.244e+04
136.3,2.024e+04,3.293e+03,2.572e+03,2.611e+04
137.9,1.432e+04,2.558e+03,2.182e+03,1.906e+04
139.5,1.119e+04,2.079e+03,1.950e+03,1.522e+04
141.1,1.091e+04,1.784e+03,1.783e+03,1.448e+04
142.7,1.195e+04,1.738e+03,1.709e+03,1.539e+04
144.3,1.163e+04,1.617e+03,1.491e+03,1.474e+04
145.9,1.109e+04,1.457e+03,1.295e+03,1.384e+04
147.4,1.031e+04,1.266e+03,1.102e+03,1.268e+04
149.0,8.840e+03,1.094e+03,9.175e+02,1.085e+04
150.6,7.889e+03,1.306e+03,9.440e+02,1.014e+04
152.2,7.195e+03,1.490e+03,9.261e+02,9.611e+03
153.8,6.296e+03,1.693e+03,9.525e+02,8.941e+03
155.4,5.428e+03,1.922e+03,1.033e+03,8.384e+03
156.9,4.707e+03,1.822e+03,1.073e+03,7.602e+03
158.5,3.815e+03,1.776e+03,1.161e+03,6.753e+03
160.1,3.474e+03,1.712e+03,1.190e+03,6.375e+03
