freq,psd_x,psd_y,psd_z,psd_xyz
185.7,2.255e+01,8.411e+01,1.272e+02,2.338e+02
187.3,2.653e+01,7.960e+01,1.290e+02,2.351e+02
188.9,3.269e+01,7.211e+01,1.401e+02,2.449e+02
190.5,4.698e+01,6.559e+01,1.580e+02,2.705e+02
192.1,5.494e+01,6.615e+01,1.681e+02,2.892e+02
193.6,4.953e+01,6.909e+01,1.619e+02,2.805e+02
195.2,4.643e+01,7.588e+01,1.626e+02,2.849e+02
196.8,5.242e+01,8.251e+01,1.679e+02,3.028e+02
198.4,5.709e+01,8.227e+01,1.718e+02,3.111e+02
200.0,4.788e+01,8.108e+01,1.508e+02,2.797e+02
